id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,averageRating,ratingsCount,language,isbn10,isbn13,thumbnail,previewLink,infoLink
zQ7zAAAAMAAJ,Playing for Real,"A Collection of Five Short Plays for South African Classrooms, with an Introduction",,Juta,1999,"Designed to integrate the outcomes-based curriculum, this is a collection of short, modern plays aimed at Junior Secondary students. It offers a range of multi- and cross-cultural dramas, mostly African in origin, for both English and Drama teachers and students.",184.0,Drama,,,en,,,http://books.google.com/books/content?id=zQ7zAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=zQ7zAAAAMAAJ&q=drama&dq=drama&hl=&cd=98&source=gbs_api,http://books.google.co.in/books?id=zQ7zAAAAMAAJ&dq=drama&hl=&source=gbs_api
cO4_AAAAMAAJ,International Theatre Directory,A World Directory of the Theatre and Performing Arts,Leo Bryan Pride,New York : Simon and Schuster,1973,,616.0,Performing arts,,,en,,,http://books.google.com/books/content?id=cO4_AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=cO4_AAAAMAAJ&q=drama&dq=drama&hl=&cd=99&source=gbs_api,http://books.google.co.in/books?id=cO4_AAAAMAAJ&dq=drama&hl=&source=gbs_api
Q0BZAAAAMAAJ,The Nature and Elements of Poetry,,Edmund Clarence Stedman,"Boston : Houghton, Mifflin",1892,,376.0,Literary Criticism,,,en,,,http://books.google.com/books/content?id=Q0BZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=Q0BZAAAAMAAJ&pg=PA309&dq=drama&hl=&cd=121&source=gbs_api,https://play.google.com/store/books/details?id=Q0BZAAAAMAAJ&source=gbs_api
oWuNAYTwoj0C,The Magazine Subject-index,,,,1912,Contains the cumulation of the subject index issued in the quarterly numbers of the Bulletin of bibliography and magazine subject-index.,512.0,American periodicals,,,en,,,http://books.google.com/books/content?id=oWuNAYTwoj0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=oWuNAYTwoj0C&pg=RA1-PA28-IA46&dq=drama&hl=&cd=122&source=gbs_api,http://books.google.co.in/books?id=oWuNAYTwoj0C&dq=drama&hl=&source=gbs_api
Ys0PAQAAMAAJ,The British National Bibliography Cumulated Subject Catalogue,,,,1951,,1288.0,"Bibliography, National",,,en,,,http://books.google.com/books/content?id=Ys0PAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Ys0PAQAAMAAJ&pg=PA2280&dq=drama&hl=&cd=124&source=gbs_api,http://books.google.co.in/books?id=Ys0PAQAAMAAJ&dq=drama&hl=&source=gbs_api
YyMeAQAAIAAJ,The Edinburgh Review,,,,1927,,440.0,Great Britain,,,en,,,http://books.google.com/books/content?id=YyMeAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=YyMeAQAAIAAJ&q=drama&dq=drama&hl=&cd=125&source=gbs_api,http://books.google.co.in/books?id=YyMeAQAAIAAJ&dq=drama&hl=&source=gbs_api
9Lgs_crFxwoC,A Short History of English Literature,With Reading References,Henry Alonzo Myers,,1952,,140.0,English literature,,,en,,,http://books.google.com/books/content?id=9Lgs_crFxwoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=9Lgs_crFxwoC&q=drama&dq=drama&hl=&cd=126&source=gbs_api,http://books.google.co.in/books?id=9Lgs_crFxwoC&dq=drama&hl=&source=gbs_api
S5iKZgHi4T0C,Husbands are a Problem,A Comedy in Three Acts,Harris Deans,London : S. French,1923,,92.0,,,,en,,,http://books.google.com/books/content?id=S5iKZgHi4T0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=S5iKZgHi4T0C&q=drama&dq=drama&hl=&cd=127&source=gbs_api,http://books.google.co.in/books?id=S5iKZgHi4T0C&dq=drama&hl=&source=gbs_api
69EaAAAAMAAJ,Annual Report,,Carnegie United Kingdom Trust,,1956,,718.0,Charities,,,en,,,http://books.google.com/books/content?id=69EaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=69EaAAAAMAAJ&q=drama&dq=drama&hl=&cd=128&source=gbs_api,http://books.google.co.in/books?id=69EaAAAAMAAJ&dq=drama&hl=&source=gbs_api
Td_jEbN3G9oC,The Supervisors Service Bulletin,,,,1924,,260.0,,,,en,,,http://books.google.com/books/content?id=Td_jEbN3G9oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Td_jEbN3G9oC&q=drama&dq=drama&hl=&cd=129&source=gbs_api,http://books.google.co.in/books?id=Td_jEbN3G9oC&dq=drama&hl=&source=gbs_api
87czAQAAMAAJ,Studies in Philology,,,,1906,,658.0,Philology,,,en,,,http://books.google.com/books/content?id=87czAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=87czAQAAMAAJ&pg=RA4-PA14&dq=drama&hl=&cd=130&source=gbs_api,https://play.google.com/store/books/details?id=87czAQAAMAAJ&source=gbs_api
BOhcaTxJdH0C,Author - Title Catalog,,"University of California, Berkeley. Library",,1963,,1044.0,,,,en,,,http://books.google.com/books/content?id=BOhcaTxJdH0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=BOhcaTxJdH0C&pg=PA685&dq=drama&hl=&cd=132&source=gbs_api,http://books.google.co.in/books?id=BOhcaTxJdH0C&dq=drama&hl=&source=gbs_api
2hGh5pM41kYC,T. P.'s Weekly,,"Thomas Power O'Connor, Holbrook Jackson",,1911,,804.0,,,,en,,,http://books.google.com/books/content?id=2hGh5pM41kYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=2hGh5pM41kYC&q=drama&dq=drama&hl=&cd=133&source=gbs_api,http://books.google.co.in/books?id=2hGh5pM41kYC&dq=drama&hl=&source=gbs_api
GN0SAQAAMAAJ,Tudor and Stuart Drama,,,"Arlington Heights, Ill. : AHM Publishing Corporation",1978,,144.0,Reference,,,en,,,http://books.google.com/books/content?id=GN0SAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=GN0SAQAAMAAJ&dq=drama&hl=&cd=135&source=gbs_api,http://books.google.co.in/books?id=GN0SAQAAMAAJ&dq=drama&hl=&source=gbs_api
idhPAAAAMAAJ,The Americana,"A Universal Reference Library, Comprising the Arts and Sciences, Literature, History, Biography, Geography, Commerce, Etc., of the World","Frederick Converse Beach, George Edwin Rines",,1912,,826.0,Encyclopedias and dictionaries,,,en,,,http://books.google.com/books/content?id=idhPAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=idhPAAAAMAAJ&q=drama&dq=drama&hl=&cd=136&source=gbs_api,http://books.google.co.in/books?id=idhPAAAAMAAJ&dq=drama&hl=&source=gbs_api
UuwHAQAAMAAJ,Mythology as Metaphor,"Romantic Irony, Critical Theory, and Wagner's URing",Mary A. Cicora,Praeger,1998-06-10,"An exploration, within the German literary and cultural tradition, of Wagner's Ring and the treatise Oper und Drama.",192.0,Literary Criticism,,,en,,,http://books.google.com/books/content?id=UuwHAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=UuwHAQAAMAAJ&q=drama&dq=drama&hl=&cd=139&source=gbs_api,http://books.google.co.in/books?id=UuwHAQAAMAAJ&dq=drama&hl=&source=gbs_api
ZPtFAQAAMAAJ,The Speaker,A Quarterly Magazine,Paul Martin Pearson,,1911,,484.0,Recitations,,,en,,,http://books.google.com/books/content?id=ZPtFAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=ZPtFAQAAMAAJ&pg=PA227&dq=drama&hl=&cd=161&source=gbs_api,http://books.google.co.in/books?id=ZPtFAQAAMAAJ&dq=drama&hl=&source=gbs_api
